wallet,credit_score
0xece2a8cded7f6bd3f5849037a2cf245f00a96cb7,99.99
0x45788611cd779677edd36b9dec51ced4a3231a77,99.99
0xe089860c9033471196c7adcb5730c99630083f19,99.99
0x91970127fd698b2716c36633ab396a797910a24c,99.99
0x573af7ecdb6c0265e1e5b3150497c878c4cd8628,99.99
0xfde695f57f1800f6a6012038ba6263f436b3cf68,99.99
0xb4308400aba2912c7c2ca6a9c6bfc98a49798913,99.99
0xc222dbfb4c59928b4a25e0dcc7ad8f0f9c263079,99.99
0x328bb0aea9523f733e1adac513e02c30a3d732e3,99.99
0x6b7b15e74a1c904c743a14ced2022442123abebb,99.99
0xe0878e7bdd59892a5670d50a42993b917b46b0ee,99.99
0x032b825ab8282cb13d8e044cb0c6f90a0bf37166,99.99
0xc79628f7e76eed4e4ca49c398293730db51ff38b,99.99
0x918c6b71fdfed16aa0a4d743aad89f13db766e66,99.99
0xc22d38bd7001bc03a0af9ab53bd4201bc20ef7bc,99.99
0x918558df5a12ba43657222bbcf1a735494a5024f,99.99
0xef5f7862b0bb4098dbd48d5d86fcaa0b3fe9848d,99.99
0xab77193406ada1ce5b6be7b67796c4dfac8ba2d2,99.99
0xc9e093dd5b67001c6f975bc4f62d0423909089aa,99.99
0xf1aa99c69715f423086008eb9d06dc1e35cc504d,99.99
0xc7a3020ecdc7b6554e24bb4ab0c78aa46bce3e37,99.99
0xc97b71a4bf8e251b9f8402810ab376bdce4e8b6b,99.99
0xe8b57ceef46cb983de4e08e48446a5c51b75fab0,99.99
0xe8c4c68ea6af2fb6147082ef4a71265826a33da4,99.99
0x45698cdcc733cba4f8b1150c2f580587adf1df92,99.99
0x52d65a92083deb36002c0637e1a7d4f62cf220d5,99.99
0xa5ccd262702697cda41dd97b598f4de95c596309,99.99
0xfad6d201fcb138855fdd7d3a102ba6d7b4af0283,99.99
0xc7bde5d00c8e0255b6a262a16fd7d5533e436e0c,99.99
0x98cd31a77948b77f1aa2ae36be4a5c5f6853de96,99.99
0x20c410a696f59ec838f2b787473d035b727260d5,99.99
0xc9c824a4633fe1aa5cc63a7b3ce4233c78960faa,99.99
0xe3554e132359424aba304c7cb222bbd65a8988bd,99.99
0x0e606657f52f72b6ea935bb4b33f1f18daae6fa0,99.99
0x034a4081df0c5a039d05113a7d0b334083a7b084,99.99
0x574207639e524ef42998f1d9fc649a0d1a7cf9d8,99.99
0xc7b6c16b6032ac35ed5a512622272215ae860156,99.99
0x919d0db808ca9973bc851ddaabd6110336fcd6a9,99.99
0xef5fa9f994bd79fa2ce48c57d97e315f0af2cecf,99.99
0xc2179c42306d710492442d8e3fb097a9d226e298,99.99
0xd7aa78bb243d5420717885af9703295f37e2dafd,99.99
0xa16beea3ecee1109f217cf444a6cbc759237733a,99.99
0x11f69a22ebabdaa38aab251e27f5d04679ecd584,99.99
0x031a83bb6c3108ac76f5de84623eaee6a698023f,99.99
0xf72a5898f65c1ec6c53dacd131b24d6e7338a9a4,99.99
0x3d16c7f2c9455daab5f2db1d662a0429829b1143,99.99
0x6ba7ae33270da1cc51d78e4acefb5b2aa9b3f429,99.99
0xef4b604892861fe1a504806287f4cd893a77a300,99.99
0xd5063ee38d59b4ede0fe1d94416c481b2f700456,99.99
0x4c3c207f50a9e923c30436901a6d21e904474b06,99.99
0x25e9079673b2de7520233ec24d459c5d5c53a0db,99.99
0x45a7dd922ea000e292601ac9157bbbaf5f9ded5a,99.99
0xda516f855cd531dd1338622f9d9c2217282b4b48,99.99
0x3a4dd62195f4dcc3d3c2517f2bc699594fe2cbb9,99.99
0xebd3245b84154c201913dfd90b431d87e58ecbb0,99.99
0x5b57990b8dcd7954134b170be215372c3512df15,99.99
0x7a857c379ddb4310120aa46d0f1275ec0a91b474,99.99
0xe896bcce9fbb3341a1e98f98ec7a6ffbdea35060,99.99
0x416b7a99bd32fc74a33de3548219ccba798b52dd,99.99
0xa127fe9c9ff0c26e4a4e36ba97361700afae372d,99.99
0x25f5767d16002de565951051a2d0407583b22e6b,99.99
0x5b4976a3926376d7be4faf56685ae2d8de35e93a,99.99
0x63aea4642d24126d0f39fdc0c7f578b83bd6176e,99.99
0x374993e55f34aa1d15ca6580258efc10fcd9a4ad,99.99
0x7467dd8f34a09b476a098605b437740e5f881f88,99.99
0xf1bb3f7d8bc8969a2a914645104e3423a4d96a61,99.99
0xfac34fb5b0556f23d890cd33148cea5532e7f9f6,99.99
0x63bca938dc34d48811c04c79c283e7239b00278b,99.99
0x20a372f22493279f89526a1f5d525d6c6b4abeea,99.99
0xa16780e66b5717faff7119c5203335e2bebd1dd8,99.99
0x747549cabb4c29c450c274f5e08502019a6b1b1c,99.99
0x2b2a3ec84580f19ef7bbca1e76c105e0c336ae35,99.99
0xe34c3fb6f252c676f3697d5b913236ca3510f36d,99.99
0xa145713ef23088e42ddb26591d0ce7562a96e055,99.99
0x4186b616021110aeb1ed9b20cf502441a70605bb,99.99
0x82ad45ff4cf34b8fd4f57ff70b1f08375b11485b,99.99
0xda581193cdf0efd943420e661e7c1ea2a0ca1a1f,99.99
0xf1bf4ec0316f94ed75e66da05044194d756f6e0a,99.99
0x1ae57184426d7198ba929d440b6d6005e116ee74,99.99
0x745869e92b46c5a4b959d5432ecc05a0b87d911a,99.99
0x0e4a51a9a0f3c0f38f9d3d8472985c4a5d020e6a,99.99
0xdec323a213b8da05c20c9bba194afb782aef8510,99.99
0x0358629bd27fa559b88d0f41ea3da28d057c3414,99.99
0xe0939bc1e1cb6c33293b811f0d931c5a86c4829a,99.99
